type,meter_number,mpan_top,mpar,serial_number
gas,,,3350405002,E6S08289211556
elec,1100012969896,04831037,,F92FB29237
gas,,,9212790003,M016A0439408A6
elec,2000002136419,01801100,,19L2458170
elec,2000054170199,03801127,,E13Z048300
gas,,,9145449604,M040K0282910D6
elec,2000004760420,04044129,,217304020
gas,,,9367315507,
gas,,,3357203104,G4K03121370101
gas,,,3254914710,00019066
elec,1200029249722,01801902,,L89A 02358
gas,,,60744007,G4A03844690601
elec,2000000581327,03801126,,217143838
elec,1200038619367,03801952,,S75A10278
elec,1200031147560,03801952,,19L3095859
gas,,,3311652505,00797323
elec,1200029523680,03801952,,50400209
elec,1900041088160,03801320,,S9048374
elec,1900036087660,03801320,,AL59804
elec,2000001642413,01801100,,18P2247417
gas,,,3322470600,G4P31094841700
elec,2000002518832,03801127,,L98C89543
gas,,,3379357401,601386S
elec,1100013008196,03801013,,Z02FE17901
elec,1900044032579,04812201,,E13Z030887
gas,,,9367359101,7434745S
elec,2500021755772,03801127,,
gas,,,9322433508,205159
elec,2000054170375,03801127,,E10BG01877
gas,,,9145450308,M016K0741814D6
elec,2000000969111,01801100,,15E0428811
elec,1200031145874,03801952,,D03A13167
elec,1200026308367,03801956,,215121085
elec,2000027559917,03801H02,,L70C13393
elec,1900043126074,03801320,,A7477491
gas,,,60468301,E6S00965419606
elec,2000053717068,03801127,,L07C64545
elec,1200024262729,03802952,,F99A 40155
elec,1012538646420,03801201,,E12Z146757
elec,1460001697328,03801001,,211178958
elec,1012969566372,03801201,,S82E023714
elec,1200037150328,03801952,,F91A 04421
gas,,,8916475001,M040A0051801A6
elec,1100015712427,04817037,,K14W311119
elec,1160001064437,00845058,,K07W610247
gas,,,63144301,E016K0116115D6
gas,,,8823820301,241420
elec,1200031923783,03801953,,210015229
elec,2000001783364,03801126,,211190831
gas,,,609326108,4353571S
elec,2334541098716,03801240,,E15ML06103
gas,,,2163580109,M025K0338015D6
elec,1100013358771,03801013,,F01FC00244
elec,2000057389920,03801127,,E18ML14348
elec,1900009088318,03801320,,L8011228
elec,2000001000638,03801126,,E11Z25246
elec,2000002178766,03801126,,S84R78572
elec,1200021992734,03801952,,D00A 58900
gas,,,8832114009,8003164S
elec,1012592684006,03801201,,K10W573229
gas,,,58379202,8020655S
elec,2000052456191,03801126,,F04C04874
elec,1100013351882,04031037,,E10TD00364
elec,1591031352510,03801203,,D10L90122
elec,1200029523635,03801952,,E14Z038870
elec,1200023894505,03801952,,E13Z033653
gas,,,3292446504,G4A01270701501
elec,1012833468246,03136201,,S85E006076
elec,1200010262160,00845009,,213453131
elec,1012398796536,03801201,,E14Z018576
elec,1413593151000,01801001,,
gas,,,2404681610,3588062
elec,1412954051005,01801001,,
gas,,,2551748302,G4A02618150601
elec,2000054319896,03801126,,E15TH00193
elec,1900013055963,03801320,,E15TH00336
gas,,,60827505,M040A0148313D6
elec,1610020952424,03801631,,E11Z107238
elec,2000000184651,03801126,,16P2261392
